Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
25-Sep-16,Georgia,Atlanta,1073 Piedmont Ave,1,0,N/A
24-Sep-16,Texas,Houston,4439 Pease Street,1,0,N/A
22-Sep-16,Maryland,Bladensburg,4200 block of 58th Avenue,1,0,N/A
19-Sep-16,Arkansas,Buckner,1100 block of Lafayette County Road 41,1,0,N/A
18-Sep-16,Florida,Palm Beach Gardens (Riviera Beach),1200 block of West 32nd Street,1,0,N/A
18-Sep-16,Florida,Tampa,6727 S. Lois Ave.,1,0,N/A
18-Sep-16,Iowa,Lake View,Highways 175 and 71,1,0,N/A
17-Sep-16,Alaska,Juneau,3000 block of Mountainwood Circle,1,0,N/A
17-Sep-16,North Carolina,Edenton,725 Martin Luther King Jr Avenue,1,0,N/A
14-Sep-16,Texas,Bexar (county),N/A,1,0,N/A
13-Sep-16,Texas,Azle,400 block of Rider Lane,1,0,N/A
12-Sep-16,Pennsylvania,Quakertown,2100 block of Kumry Road,1,0,N/A
12-Sep-16,Michigan,Missaukee (county),Blue Road and South Jeffs Road,1,0,N/A
11-Sep-16,Louisiana,Baton Rouge,Avenue B,1,0,N/A
11-Sep-16,Kentucky,Louisville,1600 block of Brashear Drive,1,0,N/A
08-Sep-16,California,Rosamond,2600 block of 25th Street West,1,0,N/A
05-Sep-16,Texas,Rockdale,900 block of CR 319,1,0,N/A
05-Sep-16,Texas,San Benito,200 block of Los Ranchitos,1,0,N/A
05-Sep-16,Michigan,Kalamazoo,1500 block of Clinton Avenue,2,0,N/A
02-Sep-16,Florida,Cocoa Beach,150 Minutemen Causeway,1,0,N/A
01-Sep-16,Nevada,Las Vegas,947 West Lake Mead Boulevard,1,0,N/A
01-Sep-16,South Carolina,Columbia,228 Meredith Square,1,2,N/A
31-Aug-16,Georgia,Statesboro,1000 block of Planters Lane,1,0,N/A
30-Aug-16,Wisconsin,Chetek,Leonard Street,1,0,N/A
28-Aug-16,Kentucky,Louisville,3015 Penway Ave,1,0,N/A
28-Aug-16,Texas,Ivanhoe,N/A,1,0,N/A
27-Aug-16,Texas,San Benito,500 block of Doherty Street,1,0,N/A
25-Aug-16,Colorado,Aurora,E. Ohio Place and S. Buckley Road,1,0,N/A
25-Aug-16,Tennessee,Parrottsville,Shenandoah Way,1,0,N/A
25-Aug-16,South Carolina,Conway,Gilbert Road,1,0,N/A
19-Aug-16,Texas,La Porte,9700 block of Wilmont Road.,1,0,N/A
18-Aug-16,Montana,Belgrade,1005 Cardinal Dr,1,0,N/A
15-Aug-16,Mississippi,Byhalia,95 Rebecca Drive,1,0,N/A
15-Aug-16,Florida,Naples,1900 Tamiami Trail N,1,0,N/A
14-Aug-16,Iowa,Garner,2194 Sioux Ave,1,0,N/A
13-Aug-16,Virginia,Danville,800 block of Edmonds Street,1,0,N/A
12-Aug-16,Pennsylvania,Mountville,17 West Main Street,1,0,N/A
12-Aug-16,Virginia,Hampton,1800 block of Walkers Landing Lane,1,0,N/A
11-Aug-16,Arizona,Phoenix,5102 W McDowell Rd,1,0,N/A
11-Aug-16,Washington,Mount Vernon,315 E College Way,1,0,N/A
10-Aug-16,Minnesota,Rochester,2nd Street and 14th Avenue SW,1,0,N/A
09-Aug-16,Florida,Punta Gorda,1410 Tamiami Trail,1,0,N/A
09-Aug-16,Pennsylvania,Philadelphia,540 N Percy St,1,0,N/A
08-Aug-16,Tennessee,Hendersonville,118 Shady View Drive,1,0,N/A
08-Aug-16,Pennsylvania,Philadelphia,2800 block of South 7th Street,1,0,N/A
06-Aug-16,Indiana,Hammond,4700 block of Hohman Avenue,1,0,N/A
06-Aug-16,Texas,Katy,6200 block of Towngate Circle,1,0,N/A
06-Aug-16,North Carolina,Shelby,105 Lindsey Lee Ln,1,0,N/A
06-Aug-16,Idaho,Weiser,Macomb Road,1,0,N/A
05-Aug-16,Texas,Greenville,7701 Wesley Street,1,0,N/A
05-Aug-16,Illinois,Chicago,2700 block of West Evergreen Avenue,1,0,N/A
02-Aug-16,South Carolina,Coward,4312 Circle Drive,1,1,N/A
02-Aug-16,Ohio,Columbus,400 block of East Markison Avenue,1,0,N/A
02-Aug-16,Louisiana,Marrero,2000 block of Fernando Court,1,0,N/A
01-Aug-16,Oklahoma,Ardmore,1200 block of L Street,1,0,N/A
01-Aug-16,Pennsylvania,Allentown,1500 block of Arlington Avenue,1,0,N/A
31-Jul-16,Alabama,Birmingham (Homewood),1301 Lakeshore Dr.,1,0,N/A
31-Jul-16,Virginia,Saltville,400 block of Elizabeth Street,1,0,N/A
30-Jul-16,New York,Elmira,200 block of West Hudson Street,1,0,N/A
30-Jul-16,Texas,Beaumont,7395 Highway 105,1,0,N/A
28-Jul-16,New Jersey,Pemberton Township,Bayberry Street,1,0,N/A
26-Jul-16,Texas,Houston,9700 block of Shady Tree Ln,1,0,N/A
26-Jul-16,Texas,San Antonio,3600 block of Callaghan Road,1,0,N/A
25-Jul-16,Arizona,Tempe,1000 E Orange Street,1,0,N/A
24-Jul-16,Kentucky,Frankfort,Pea Ridge Road,1,0,N/A
24-Jul-16,Arkansas,Gurdon,200 block of Cedar Street,1,0,N/A
22-Jul-16,Indiana,Huntingburg,202 N. Main St.,1,0,N/A
20-Jul-16,Georgia,Jones (county),113 Horseshoe Bend Court,1,0,N/A
19-Jul-16,Texas,Alvin,3400 block of Oxford,1,0,N/A
18-Jul-16,South Carolina,Gaston,2400 block of Glenn Road,1,0,N/A
17-Jul-16,Michigan,Rochester (Rochester Hills),1200 block of Lakeview Drive,1,0,N/A
17-Jul-16,Georgia,Carrollton,Adamson Avenue,1,0,N/A
16-Jul-16,Ohio,Cincinnati,6200 block of Chandler Street,1,0,N/A
15-Jul-16,Florida,Tallahassee,2684 Tess Circle,1,0,N/A
15-Jul-16,Texas,Houston,Sageland Drive,1,0,N/A
15-Jul-16,Florida,Lake Worth,7400 block of Michigan Isle Road,1,0,N/A
15-Jul-16,Florida,Tampa (Town N Country),8202 Pinehurst Circle,1,0,N/A
15-Jul-16,Florida,Port Orange,829 Hudson Lane,1,0,N/A
14-Jul-16,Alabama,Leighton,1500 block of Hwy 157,1,0,N/A
14-Jul-16,Colorado,Steamboat Springs,N/A,1,0,N/A
13-Jul-16,Nebraska,Omaha,36th and Grand,1,0,N/A
12-Jul-16,Pennsylvania,Berks (county),1st block of Chapel Lane,1,0,N/A
11-Jul-16,Texas,Marion (county),Monica Drive,1,0,N/A
09-Jul-16,Florida,Winter Haven,5463 Laurel Oak Drive,2,1,N/A
08-Jul-16,Michigan,Alma,Penrith Avenue,1,0,N/A
08-Jul-16,Texas,Mineral Wells,2600 block of S.W 8th Avenue,1,0,N/A
07-Jul-16,Montana,Helena,1200 block of Bozeman Street,1,0,N/A
06-Jul-16,Alabama,Toney,2500 block of Alabama 251,1,0,N/A
06-Jul-16,Wisconsin,Brown (county),N/A,1,0,N/A
03-Jul-16,Florida,Sarasota,4583 Bee Ridge Road,1,0,N/A
03-Jul-16,Tennessee,Chattanooga (East Ridge),201 Eads Street,1,0,N/A
03-Jul-16,Kentucky,Lowmansville,July Drive,1,0,N/A
02-Jul-16,California,Oakland,1400 block of Sunshine Court,1,1,N/A
02-Jul-16,California,Lemoore,800 block of Dogwood Avenue,1,0,N/A
01-Jul-16,Tennessee,Clarksville,874 Samantha Lane,1,0,N/A
30-Jun-16,Washington,Manson,SR 150,1,0,N/A
29-Jun-16,Pennsylvania,Philadelphia,5300 block of E Walnut Lane,1,0,N/A
29-Jun-16,Kentucky,Lewisport,1370 S Chestnut Grove Rd,1,0,N/A
28-Jun-16,Wisconsin,Milwaukee,28th Street and Capitol Drive,1,0,N/A
28-Jun-16,Michigan,Roseville,25800 Gratiot Avenue,1,0,N/A
28-Jun-16,Texas,San Antonio,8600 block of Star Creek Drive,1,0,N/A
28-Jun-16,Massachusetts,Stoneham,Congress Street,1,0,N/A
27-Jun-16,Arizona,Phoenix,1600 block of West Missouri Avenue,1,0,N/A
25-Jun-16,New Jersey,East Orange,112 Norman Street,1,0,N/A
24-Jun-16,Oklahoma,Delaware (county),N/A,1,0,N/A
23-Jun-16,Pennsylvania,Philadelphia,1800 block of N 20th Street,1,0,N/A
22-Jun-16,Indiana,Indianapolis,3300 block of Wallace Avenue,1,0,N/A
22-Jun-16,Georgia,Adel,800 block of Guy Street,1,0,N/A
20-Jun-16,Colorado,Conejos (county),N/A,1,0,N/A
19-Jun-16,Texas,San Antonio,8800 block of  Village Drive.,1,1,N/A
18-Jun-16,Ohio,Amelia,3023 Lindale Mt. Holly Rd,1,0,N/A
17-Jun-16,Iowa,Elgin,210 Main Street,1,0,N/A
17-Jun-16,Pennsylvania,Pittsburgh,4290 Melwood Ave,1,0,N/A
13-Jun-16,West Virginia,Fairmont,Cleveland Avenue,1,0,N/A
12-Jun-16,New York,Corona (Queens),45th Avenue and National Street,1,0,N/A
11-Jun-16,Louisiana,Baton Rouge,3500 block of Wayne Avenue,1,0,N/A
11-Jun-16,Texas,Dallas,13700 block of Montfort Drive,1,0,N/A
08-Jun-16,Georgia,Calhoun,Dogwood Drive,1,0,N/A
07-Jun-16,Michigan,Detroit,5300 block of Radnor,1,0,N/A
06-Jun-16,Florida,Zellwood,2900 block of Winifred Road,1,0,N/A
06-Jun-16,Georgia,Hawkinsville,18 Franklin Street,1,0,N/A
06-Jun-16,Maryland,Annapolis,1300 block of Tyler Avenue,1,0,N/A
03-Jun-16,California,Riverside (county),29200 block of Garnet,1,0,N/A
03-Jun-16,Missouri,Saint Louis,9500 block of Page Ave,1,0,N/A
03-Jun-16,Colorado,Aurora,1575 Galena Street,1,0,N/A
03-Jun-16,Illinois,Chicago,3500 block of South Parnell Avenue,1,0,N/A
02-Jun-16,Georgia,Rome,1249 Bells Ferry Road,1,0,N/A
29-May-16,Arizona,Phoenix,N/A,1,0,N/A
27-May-16,Missouri,Joplin,1516 S. Byers Avenue,1,0,N/A
27-May-16,California,Oakland,1300 block of Fruitvale Avenue,1,0,N/A
26-May-16,Virginia,Roanoke,2000 block of Carroll Avenue NW,1,0,N/A
25-May-16,Washington,Seattle,6000 block of High Point Drive SW,1,0,N/A
24-May-16,Pennsylvania,Butler (county),Pine Tract Road,1,0,N/A
24-May-16,Indiana,Gary,1400 block of Virginia Street,1,0,N/A
22-May-16,Tennessee,Nashville,2700 block of Hydes Ferry Road,1,0,N/A
21-May-16,Louisiana,La Place (Laplace),19 Country Club Dr,1,0,N/A
20-May-16,Alabama,Horton,Welcome Home Church Road,1,0,N/A
20-May-16,Illinois,Barry,186 E 2700th St,1,0,N/A
19-May-16,New York,Bronx,810 Astor Avenue,1,0,N/A
16-May-16,Florida,Sarasota,2400 block of 47th Street,1,0,N/A
14-May-16,Florida,Alford,Compass Lake Drive,1,0,N/A
13-May-16,Missouri,Branson,500 block of College,1,0,N/A
12-May-16,Indiana,Lebanon,300 South 500 West,1,0,N/A
12-May-16,Ohio,Hilliard,5100 block of Scioto Darby Road,1,0,N/A
11-May-16,Montana,Lewis And Clark (county),Beaver Slide Loop,1,0,N/A
11-May-16,Louisiana,Leesville,N/A,1,0,N/A
10-May-16,Michigan,Detroit,19700 block of Oakfield Street,1,0,N/A
10-May-16,Louisiana,Shreveport,1100 block of Wilkinson Street,1,0,N/A
09-May-16,California,Bell Gardens (Cudahy),4300 Clara St,1,0,N/A
07-May-16,Iowa,Fayette (county),N/A,1,0,N/A
06-May-16,Arizona,Phoenix,11015 N. 11th Place,1,0,N/A
01-May-16,Indiana,Indianapolis,Gale and Vermont,1,0,N/A
30-Apr-16,Tennessee,Huntingdon,60 Hunter Ridge Cove,1,0,N/A
30-Apr-16,Oregon,Medford,208 Iowa St.,1,0,N/A
26-Apr-16,Georgia,Dallas,Camp Circle and Dallas Acworth Highway,1,0,N/A
26-Apr-16,Wisconsin,Milwaukee,U.S. 41/Highway 175,1,0,N/A
24-Apr-16,Kansas,Salina,1900 block of Dover,1,0,N/A
23-Apr-16,Iowa,Maynard,N/A,1,0,N/A
22-Apr-16,Louisiana,Natchitoches,600 block of Sabine Alley,1,0,N/A
22-Apr-16,Kansas,Wichita,1800 block of West McCormick,1,0,N/A
21-Apr-16,Missouri,Kansas City,2600 block of Lawn Avenue,1,0,N/A
20-Apr-16,Indiana,Indianapolis,5200 block of Alameda Road,1,0,N/A
20-Apr-16,North Carolina,Wilmington,300 block of Grass Lane,1,0,N/A
19-Apr-16,California,Sacramento,7800 block of Sunrise Greens Drive,1,0,N/A
17-Apr-16,Wisconsin,Rock (county),2100 block of Lima Center Road,1,0,N/A
16-Apr-16,Alaska,Sutton (Sutton-Alpine),Jonesville Mine Road,1,0,N/A
16-Apr-16,Pennsylvania,Philadelphia,200 block of E. Mayfield Street,1,0,N/A
15-Apr-16,Maryland,Temple Hills,5000 block of Sharon Road,1,2,N/A
14-Apr-16,Kentucky,Louisville,900 block of W. Evelyn Avenue,1,0,N/A
14-Apr-16,California,Victorville,13000 block of Bennington Drive,1,0,N/A
12-Apr-16,Missouri,Saint Louis,8500 block of Riverview,1,0,N/A
12-Apr-16,Texas,Waxahachie,200 block of Colt Drive,1,0,N/A
11-Apr-16,Wisconsin,Friendship,N/A,1,0,N/A
10-Apr-16,North Carolina,Granite Falls,Baton Church Road,1,0,N/A
09-Apr-16,Massachusetts,Beverly,Ropes Street,1,0,N/A
08-Apr-16,Alabama,Montgomery,200 block of Southlawn Drive,1,0,N/A
02-Apr-16,South Carolina,Rock Hill,800 block of Horseman Drive,1,0,N/A
31-Mar-16,North Carolina,La Grange,Mimosa Lane and Maple Grove Dr,1,0,N/A
30-Mar-16,Louisiana,New Orleans (Algiers),2100 block of Springbrook Lane,1,0,N/A
28-Mar-16,Georgia,Douglas,900 block of South Coffee Avenue,1,0,N/A
28-Mar-16,Alabama,Covington (county),County Road 21,1,0,N/A
27-Mar-16,Mississippi,Brookhaven,Highway 550,1,0,N/A
27-Mar-16,Vermont,Saint Albans,N/A,1,0,N/A
27-Mar-16,Illinois,Carbondale,402 West Walnut Street,1,1,N/A
25-Mar-16,Hawaii,Mountain View,Oshiro Road,1,0,N/A
24-Mar-16,Texas,San Antonio,100 block of West Ansley Boulevard,1,0,N/A
24-Mar-16,Texas,Ennis,200  block of Arnold Street,1,0,N/A
24-Mar-16,Missouri,Henley,6000 block of Upton Road,1,0,N/A
21-Mar-16,Kentucky,Sharpsburg,95 Bethel Ridge Road,1,0,N/A
20-Mar-16,Illinois,Chicago,4900 block of Aster Street,1,0,N/A
20-Mar-16,Florida,Fort Myers,17483 Old Harmony Road,1,0,N/A
20-Mar-16,Illinois,Chicago (Englewood),6700 block of S. Aberdeen St.,1,0,N/A
20-Mar-16,Pennsylvania,Mount Pleasant,151 South Church St,1,0,N/A
19-Mar-16,Florida,Apopka,1008 Sheeler Hills Drive,1,0,N/A
19-Mar-16,Texas,Palestine,300 block of Anderson County Road 1370,1,0,N/A
19-Mar-16,North Carolina,Fayetteville,400 block of Lands End Road,1,0,N/A
18-Mar-16,New York,Copiague,Great Neck Road,1,0,N/A
18-Mar-16,Iowa,Cedar Rapids,1424 Bever Ave. SE,1,0,N/A
17-Mar-16,South Carolina,Bennettsville,Spencer Street,1,0,N/A
17-Mar-16,Texas,San Antonio,4400 block of Hampstead Street,1,0,N/A
16-Mar-16,West Virginia,Beckley,Hager Street,1,0,N/A
15-Mar-16,Tennessee,Chattanooga,1206 Lewis Street,1,0,N/A
14-Mar-16,Texas,Bridgeport,County Road 3825,1,0,N/A
14-Mar-16,West Virginia,Beckley,Bethel Road,1,0,N/A
14-Mar-16,Missouri,Kansas City,North Flora and Northeast 80th Street,1,0,N/A
12-Mar-16,Texas,Paris,210 Stone Avenue,1,0,N/A
12-Mar-16,Iowa,Oskaloosa,1593 290th Street,1,0,N/A
11-Mar-16,Georgia,Norcross,4900 block of Appaloosa Trail,1,0,N/A
09-Mar-16,Kentucky,Somerset,1610 Oak Hill Rd,1,0,N/A
07-Mar-16,West Virginia,Morgantown,Church Hill Drive,1,0,N/A
06-Mar-16,Mississippi,Laurel,County Road 237,1,0,N/A
06-Mar-16,California,Studio City,3700 block of Eureka Drive,1,0,N/A
05-Mar-16,South Dakota,Yankton,East Side Drive,1,0,N/A
04-Mar-16,South Carolina,Rock Hill,600 block of Cauthen Street,1,1,N/A
02-Mar-16,Hawaii,Makawao,80-90 block of Healani Street,1,0,N/A
01-Mar-16,Texas,Corpus Christi,6300 block of Hanley Drive,1,0,N/A
01-Mar-16,Florida,Sanford,Highlawn Avenue,1,0,N/A
29-Feb-16,Tennessee,Apison,4724 Gates Lane,1,0,N/A
28-Feb-16,Washington,Concrete,46000 block of Baker Loop Road,1,0,N/A
28-Feb-16,Texas,San Antonio,9500 block of Perrin-Beitel Road,1,0,N/A
27-Feb-16,Louisiana,Baton Rouge,7584 Prescott Drive,1,0,N/A
27-Feb-16,Florida,Miami Gardens,2200 block of Northwest 172nd Terrace,1,0,N/A
26-Feb-16,Indiana,Sunman,Van Wedding Road,1,0,N/A
26-Feb-16,Iowa,Evansdale (Elk Run Heights),N/A,1,0,N/A
26-Feb-16,South Carolina,Clearwater,244 Park Drive,1,0,N/A
23-Feb-16,Texas,Houston,1300 block of Regal Street,1,0,N/A
23-Feb-16,Utah,Altamont,14535 W 4000 N,1,0,N/A
22-Feb-16,Tennessee,Greeneville,400 Y St,1,0,N/A
21-Feb-16,Florida,Fort Lauderdale,2300 block of Northwest Ninth Court,1,0,N/A
21-Feb-16,Indiana,Hartsville,200 block of Clinton Street,1,0,N/A
21-Feb-16,Florida,Fountain,11601 Nonawood Road,1,0,N/A
21-Feb-16,Mississippi,Philadelphia,Highway 16 West Pearl River Resort - Choctaw,1,0,N/A
20-Feb-16,Utah,Box Elder (county),Route 30,1,0,N/A
20-Feb-16,Ohio,Cleveland,N/A,1,0,N/A
19-Feb-16,Louisiana,Baton Rouge,2138 Tennessee Street,1,0,N/A
18-Feb-16,Louisiana,Baton Rouge,3811 Bradley Street,1,0,N/A
17-Feb-16,Illinois,Chicago,7800 block of South Honore,1,0,N/A
16-Feb-16,Texas,Lubbock,2538 71st St,1,0,N/A
15-Feb-16,Michigan,Columbiaville,Peters Road and Flint River Road,1,0,N/A
15-Feb-16,Vermont,Cuttingsville (Shrewsbury),6718 Cold River Road,1,0,N/A
15-Feb-16,Michigan,Columbiaville,Peters and Flint River roads,1,0,N/A
14-Feb-16,Michigan,Battle Creek,23 Highway Street,1,0,N/A
13-Feb-16,Nevada,Las Vegas,Buffalo and Vegas Drive,1,0,N/A
13-Feb-16,Wisconsin,Milwaukee,3000 block of West Wisconsin Avenue,1,0,N/A
13-Feb-16,Ohio,Cincinnati,3262 Tulsa Court,1,0,N/A
11-Feb-16,Maryland,Capitol Heights (Seat Pleasant),6700 block of James Farmer Way,1,0,N/A
11-Feb-16,Georgia,Lawrenceville,1600 block of Balvaird Drive,1,0,N/A
11-Feb-16,New York,Brooklyn,703 Miller Avenue,1,0,N/A
08-Feb-16,Florida,Orlando,4700 block of Spottswood Drive,1,0,N/A
06-Feb-16,Florida,Jacksonville,1100 block of East 15th Street,1,0,N/A
06-Feb-16,Texas,El Indio,N/A,1,0,N/A
06-Feb-16,Alabama,Birmingham (Irondale),2000 block of Monroe Drive,1,0,N/A
06-Feb-16,Georgia,Madison,1580 Aqua Road,1,1,N/A
06-Feb-16,Tennessee,Nashville,4271 Sidco Drive,1,0,N/A
05-Feb-16,Louisiana,Addis,3600 block of East Nic Drive,1,0,N/A
05-Feb-16,Arizona,Tucson,3000 block of South La Cholla,1,0,N/A
04-Feb-16,Iowa,Burlington,300-block of Angular Street,1,0,N/A
03-Feb-16,Ohio,Cleveland (Brooklyn),Ridge Road,1,0,N/A
31-Jan-16,Alaska,Fairbanks,Geraghty Avenue,1,0,N/A
30-Jan-16,Nevada,Las Vegas,3867 Terrazzo Avenue,1,0,N/A
30-Jan-16,Oklahoma,Hartshorne,Lakeview Drive,1,0,N/A
30-Jan-16,Maryland,Baltimore,400 block of N. Athol Avenue,1,0,N/A
30-Jan-16,Georgia,Atlanta,Meadowglen Village Lane,1,0,N/A
29-Jan-16,Alabama,Hartselle,N/A,1,0,N/A
25-Jan-16,Texas,Baytown,4100 block of Tumbleweed,2,0,N/A
25-Jan-16,Tennessee,Crossville,2009 N Main St,1,0,N/A
25-Jan-16,Kentucky,White Plains,Farmers Crossing Road,1,0,N/A
24-Jan-16,Missouri,Kennett,800 block of Emerson Street,1,0,N/A
23-Jan-16,New York,Brooklyn,45th Street,1,0,N/A
23-Jan-16,Alaska,Iliamna (Kokhanok),N/A,1,0,N/A
22-Jan-16,Florida,Delray Beach (West Delray Beach),8000 block of Sawpine Drive,1,0,N/A
22-Jan-16,Arkansas,Little Rock,211 Dortch Loop,1,0,N/A
22-Jan-16,Virginia,Williamsburg,1300 block of Richmond Road,1,0,N/A
22-Jan-16,Arkansas,North Little Rock,200 block of Dortch Loop,1,0,N/A
20-Jan-16,Michigan,Flint,1300 block of Columbia Lane,1,0,N/A
20-Jan-16,Florida,Volusia (county),Maytown Road,1,0,N/A
20-Jan-16,Indiana,Charlestown,Sycamore Drive and Cottonwood Lane,1,0,N/A
20-Jan-16,Louisiana,New Orleans,5600 block of Red Maple Drive,1,0,N/A
19-Jan-16,Texas,Liberty (county),County Road 4893,1,0,N/A
19-Jan-16,Texas,Cypress,15400 block of Redbud Berry Way,1,0,N/A
